Player,Shot_Number,Shot_Type,Start_Frame,End_Frame,Duration_Seconds,Max_Racket_Velocity_px_s,Avg_Racket_Velocity_px_s,Min_Hip_Knee_Angle_deg,Avg_Hip_Knee_Angle_deg,Min_Elbow_Angle_deg,Avg_Elbow_Angle_deg,Avg_Torso_Angle_deg,CoG_Horizontal_Movement_px,CoG_Vertical_Movement_px
Player_2,93,Backhand,2690,2693,0.1,1804.45,882.02,173.24,173.79,23.93,36.35,178.29,4.09,17.16
Player_2,94,Backhand,2697,2698,0.03,405.28,202.64,177.58,178.52,10.41,12.39,177.14,2.96,0.71
Player_2,95,Backhand,2759,2760,0.03,186.97,93.48,174.29,175.13,82.33,85.3,159.98,2.27,0.64
Player_2,96,Forehand,2762,2766,0.13,1723.68,790.76,166.61,168.73,12.09,60.18,158.07,3.55,39.84
Player_2,97,Forehand,2898,2899,0.03,98.57,49.28,179.09,179.09,72.86,75.53,169.37,1.13,5.89
Player_2,98,Forehand,2925,2927,0.07,982.06,382.56,165.57,167.03,119.58,122.7,168.13,3.81,5.55
Player_2,99,Forehand,2963,2965,0.07,507.66,266.23,170.72,175.95,93.97,96.41,173.98,5.67,1.89
Player_2,100,Forehand,2991,2992,0.03,326.65,163.33,175.91,177.37,82.82,83.22,171.51,1.05,0.72
Player_2,101,Forehand,2998,3000,0.07,501.42,221.46,175.24,177.94,55.54,58.36,169.86,1.55,4.78
Player_2,102,Forehand,3016,3020,0.13,2226.11,899.02,157.79,168.48,85.47,98.21,169.18,12.72,10.85
Player_2,103,Forehand,3107,3108,0.03,303.62,151.81,171.64,172.81,89.38,90.27,171.47,0.9,2.03
Player_2,104,Forehand,3127,3132,0.17,2068.36,1041.18,174.25,176.09,81.93,96.61,174.88,2.45,5.95
Player_2,105,Forehand,3311,3312,0.03,458.89,229.45,168.35,169.0,69.11,72.44,168.14,1.37,5.93
Player_2,106,Forehand,3394,3395,0.03,436.64,218.32,152.21,152.45,98.51,100.06,160.37,1.77,0.9
Player_2,107,Forehand,3534,3537,0.1,716.03,392.85,163.25,164.67,92.22,96.37,178.58,5.27,1.14
Player_2,108,Forehand,3630,3631,0.03,468.62,234.31,160.1,161.34,100.83,103.34,176.12,0.68,1.11
Player_2,109,Forehand,3632,3634,0.07,856.16,386.75,163.35,165.94,113.16,116.31,166.74,3.95,3.37
Player_2,110,Forehand,3727,3734,0.23,2046.74,1010.23,154.39,166.94,81.54,90.5,164.17,10.18,9.7
Player_2,111,Forehand,3794,3795,0.03,498.63,249.31,177.13,177.54,92.4,96.24,175.04,1.38,1.65
Player_2,112,Forehand,3807,3808,0.03,335.19,167.59,176.17,177.04,50.42,59.47,171.69,3.33,2.2
Player_2,113,Forehand,3823,3824,0.03,97.71,48.85,169.92,170.69,47.27,47.69,164.78,0.25,0.37
